gene,anomaly_score
RUFY1,0.00071401725
HNRNPA1,0.00071389833
TBCD,0.0007135333
NMNAT2,0.00071341835
PAOX,0.00071302295
SNRPF,0.00071163767
PSMC3IP,0.0007101036
LSM7,0.0007096046
ITGAL,0.00070952857
LPXN,0.0007093819
YY1AP1,0.0007089667
SOX12,0.0007087239
ZMAT5,0.0007084687
ATAD3A,0.00070828333
NT5E,0.0007074699
LIPA,0.0007073002
AXIN1,0.00070678716
MRPL17,0.000706292
SNRPA,0.0007062101
ENOSF1,0.0007050592
CFD,0.000704315
DALRD3,0.0007037594
PILRB,0.00070329476
STAP1,0.000702989
RAB26,0.00070211495
IFNG,0.0007020064
GLA,0.0007017763
TNNT1,0.0007015695
PAF1,0.00070153904
CST2,0.0007003194
CHST11,0.00070026726
TEX264,0.000700104
ING2,0.00069782254
PITX3,0.00069764827
SCLY,0.0006973539
AAAS,0.0006973091
CKM,0.0006972118
KYAT3,0.00069717586
ZNF428,0.00069696817
TP73,0.0006953998
PGLS,0.00069467083
POLE2,0.00069338526
CD37,0.0006932865
MRPL2,0.0006925343
IL24,0.0006923685
RAB36,0.00069233007
EPB42,0.0006921105
CEACAM5,0.00069168024
CHMP3,0.0006916543
CENPB,0.0006915952
SNRNP40,0.00069099694
IFNAR1,0.0006901014
APOC1,0.0006892691
BAZ1A,0.00068893784
VPS26C,0.0006866837
MUTYH,0.0006850352
CLGN,0.0006841772
CGREF1,0.00068333535
TUBA3C,0.0006830234
PYY,0.0006826705
LRRN3,0.00068220624
CCDC86,0.00068180804
MAPK8IP2,0.0006808261
SCYL3,0.0006798084
MYLPF,0.00067932514
CNDP2,0.00067923224
METTL7A,0.00067892356
EMG1,0.0006788232
FBXW11,0.0006787204
TBC1D9,0.0006777651
CD8A,0.00067773694
C16orf71,0.0006774764
TENT5C,0.00067701313
AKAP17A,0.0006769828
WBP11,0.00067646126
RHBG,0.0006759496
FLOT2,0.0006758944
IRF9,0.0006737018
H4C14,0.00067240215
SNRPB,0.00067206187
RPF1,0.00067195186
TFE3,0.0006712307
AMBRA1,0.0006708675
CD247,0.0006708288
ABCG1,0.0006703895
PRKD2,0.0006701152
PSD4,0.00066977454
SEC14L1,0.0006689676
ACP5,0.00066817016
EIF4A2,0.00066740124
CDCA3,0.00066676934
TFAP2A,0.0006665417
AATF,0.0006663744
HYI,0.0006661925
MRPS15,0.0006661729
DBH,0.0006658473
NOP2,0.0006652854
MBNL3,0.0006648901
HNRNPM,0.0006648079
NAA10,0.0006644101
MISP,0.00066404685
PID1,0.00066172506
TRIM24,0.0006616537
LRRC47,0.00066141813
CCL19,0.0006613602
SMARCC1,0.000661086
CIT,0.00066107867
IGFBP5,0.0006604886
CCHCR1,0.00066037383
NCDN,0.00065906486
CHAD,0.00065875927
IMP3,0.00065667846
KLHL35,0.0006566043
MCFD2,0.0006560888
CAPN15,0.0006543909
CBX8,0.00065376796
IFT140,0.00065351557
GJB1,0.0006528917
DCAF6,0.0006528471
SERPINA4,0.00065267505
HDAC11,0.0006515404
APOA1,0.00065137347
PRKCD,0.0006507202
PARD6B,0.00065044605
LEPR,0.00065041584
TMEM101,0.00065030635
ELAPOR1,0.00064982235
BICD2,0.00064952805
PLAUR,0.00064937264
FSD1,0.000649079
SSRP1,0.0006469334
PRELP,0.00064669905
RHOH,0.000646673
TAF6,0.00064574106
TAF4B,0.0006455446
P2RX5,0.0006454375
IPO8,0.0006454268
SAFB2,0.0006448341
LRFN3,0.00064448925
NDUFA6,0.0006439521
RBM4,0.0006438628
MAPRE3,0.0006437957
EMX1,0.0006433928
TATDN2,0.0006430223
PSMB10,0.0006425595
CD3G,0.00064143876
HINT1,0.0006411693
TUT1,0.00064052106
TGFB3,0.00064011716
PKN1,0.0006399087
PIN1,0.00063959986
SKP1,0.0006383348
SEMA4D,0.0006381265
PTPN13,0.00063808815
UBE2I,0.0006379694
CDK5RAP3,0.0006369781
ACADS,0.0006346063
CREB3L2,0.0006343523
GPR137,0.0006331179
UQCRQ,0.000632777
CAPZB,0.0006322444
SNRNP35,0.00063198706
SART1,0.00063147524
NUDT9,0.00063138385
RBBP4,0.00063043117
IDH2,0.0006302593
PSKH1,0.0006302373
RHOC,0.0006298983
ZNF692,0.000629895
