gene,anomaly_score,hazard_ratio,fdr,mean_expression,log_hazard,anomaly_norm,hazard_norm,fdr_norm,target_score,risk_type
PCDHGA5,0.00016066134,1.4185648943156,0.116391864781751,8988.09991522184,0.34964572276852074,0.00023619608009722398,0.6985161231873841,0.11545129515359351,0.5833010241138877,High-risk (oncogenic)
TLR4,0.00031978457,1.42046091325925,0.117752020722467,93486.3715491774,0.35098140574855835,0.0004701614760818614,0.6993871904986828,0.1168129441790174,0.5830444077957472,High-risk (oncogenic)
GCLC,8.329696e-05,1.4129221258355,0.114092449516207,124145.329222949,0.3456599895406747,0.00012244406663064234,0.6959168223216683,0.11314935574970089,0.5828899106385981,High-risk (oncogenic)
GRIK1,0.00027924054,1.41845013384013,0.117081252604013,9254.94058576525,0.34956482050019044,0.00041054792981483915,0.6984633626727967,0.11614143973791817,0.5827324708646935,High-risk (oncogenic)
LMO2,0.00024942064,1.41911926365556,0.118095992619291,113403.762022127,0.3500364423244343,0.0003667025106907912,0.6987709314301543,0.11715729366429559,0.5819803402765495,High-risk (oncogenic)
PDHA1,5.9491198e-05,1.41343073974021,0.115749643427404,345427.711164678,0.3460198978284153,8.7441480691141e-05,0.6961515369577023,0.1148083688132559,0.5814306096251376,High-risk (oncogenic)
AHI1,7.723931e-05,1.41305670181062,0.115787991338986,61070.6791140106,0.3457552315671931,0.00011353725597209589,0.6959789345273353,0.11484675882051137,0.5812457129627959,High-risk (oncogenic)
ZFP91,0.00022377456,1.41387277101854,0.116391864781751,402266.585166147,0.34633258536284484,0.00032899402989478363,0.6963554565209241,0.11545129515359351,0.5812331553972254,High-risk (oncogenic)
PIGP,0.000102391794,1.41314054920059,0.115995177013788,59071.0445532241,0.345814567404396,0.0001505199823726174,0.6960176304671267,0.11505417192935494,0.5811139785201443,High-risk (oncogenic)
SCEL,0.00013665625,1.41583982192478,0.117457649886012,8903.54195616123,0.3477228687633473,0.00020090041404333066,0.697262131564118,0.11651825020270674,0.5809447817754545,High-risk (oncogenic)
